,ele,times,hr,cad,lat,lon
1536,77.0,1536.0,140.0,83.0,49.2388750333339,-123.15513918176293
1537,76.80000305175781,1537.0,141.0,83.0,49.238890120759606,-123.1551411934197
1538,76.80000305175781,1538.0,141.0,83.0,49.23890747129917,-123.15514295361936
1539,76.80000305175781,1539.0,142.0,83.0,49.2389265820384,-123.15514052286744
1540,76.5999984741211,1540.0,141.0,84.0,49.238950135186315,-123.15513825975358
1541,76.5999984741211,1541.0,141.0,84.0,49.238972179591656,-123.15513683483005
1542,76.5999984741211,1542.0,141.0,84.0,49.238995062187314,-123.15513842739165
1543,76.4000015258789,1543.0,140.0,83.0,49.239019537344575,-123.15513876266778
1544,76.4000015258789,1544.0,140.0,83.0,49.239044431596994,-123.15513415262103
1545,76.19999694824219,1545.0,140.0,83.0,49.23906873911619,-123.15512845292687
1546,76.19999694824219,1546.0,140.0,83.0,49.239091789349914,-123.15512484870851
1547,76.19999694824219,1547.0,139.0,83.0,49.2391165997833,-123.15511965192854
1548,76.0,1548.0,139.0,84.0,49.239138811826706,-123.15511579625309
1549,76.0,1549.0,139.0,85.0,49.239157335832715,-123.15511755645275
1550,76.0,1550.0,139.0,85.0,49.23917653039098,-123.15511655062437
1551,75.80000305175781,1551.0,139.0,85.0,49.239192958921194,-123.15511772409081
1552,75.80000305175781,1552.0,139.0,85.0,49.23921190202236,-123.15511856228113
1553,75.80000305175781,1553.0,139.0,85.0,49.23922807909548,-123.15512476488948
1554,75.5999984741211,1554.0,139.0,85.0,49.23926420509815,-123.15511269494891
1555,75.5999984741211,1555.0,139.0,85.0,49.23929337412119,-123.1551010441035
1556,75.5999984741211,1556.0,139.0,85.0,49.239316675812006,-123.15509718842804
1557,75.4000015258789,1557.0,139.0,85.0,49.23933503217995,-123.15509718842804
1558,75.4000015258789,1558.0,139.0,85.0,49.23935204744339,-123.15509827807546
1559,75.4000015258789,1559.0,139.0,86.0,49.239372750744224,-123.15509643405676
1560,75.19999694824219,1560.0,139.0,86.0,49.23938926309347,-123.1550992000848
1561,75.19999694824219,1561.0,139.0,85.0,49.23940476961434,-123.1550981104374
1562,75.19999694824219,1562.0,140.0,84.0,49.23941910266876,-123.15510028973222
1563,75.0,1563.0,140.0,84.0,49.239430502057076,-123.15510045737028
1564,75.0,1564.0,141.0,83.0,49.23944349400699,-123.15509727224708
1565,75.0,1565.0,141.0,83.0,49.23945749178529,-123.15509157255292
1566,75.0,1566.0,141.0,83.0,49.239474507048726,-123.15508293919265
1567,74.80000305175781,1567.0,142.0,83.0,49.23949571326375,-123.15507757477462
1568,74.80000305175781,1568.0,142.0,83.0,49.23951465636492,-123.15507271327078
1569,74.5999984741211,1569.0,142.0,83.0,49.239532174542546,-123.15506567247212
1570,74.5999984741211,1570.0,142.0,83.0,49.239553632214665,-123.15505720674992
1571,74.4000015258789,1571.0,139.0,83.0,49.23957450315356,-123.15505184233189
1572,74.4000015258789,1572.0,138.0,83.0,49.23959730193019,-123.15504832193255
1573,74.19999694824219,1573.0,136.0,83.0,49.23961884342134,-123.15504094585776
1574,74.19999694824219,1574.0,135.0,83.0,49.23964222893119,-123.15503139048815
1575,74.0,1575.0,135.0,83.0,49.239664524793625,-123.15502502024174
1576,74.0,1576.0,135.0,83.0,49.23968765884638,-123.1550235953182
1577,74.0,1577.0,135.0,81.0,49.2397107090801,-123.15501814708114
1578,74.0,1578.0,135.0,81.0,49.23974490724504,-123.15500867553055
1579,74.0,1579.0,139.0,81.0,49.239769130945206,-123.15499635413289
1580,73.80000305175781,1580.0,139.0,82.0,49.23980198800564,-123.15498227253556
1581,73.80000305175781,1581.0,139.0,82.0,49.23983467742801,-123.1549681071192
1582,73.80000305175781,1582.0,139.0,82.0,49.23987440764904,-123.15495947375894
1583,73.80000305175781,1583.0,139.0,82.0,49.239906929433346,-123.15494371578097
1584,73.80000305175781,1584.0,138.0,82.0,49.23993341624737,-123.15493139438331
